source,target,value
Rachel,Ross,265
Monica,Rachel,244
Monica,Phoebe,213
Joey,Rachel,211
Monica,Ross,196
Joey,Ross,191
Joey,Monica,183
Chandler,Joey,181
Chandler,Monica,176
Chandler,Ross,167
Phoebe,Rachel,160
Phoebe,Ross,153
Chandler,Rachel,143
Joey,Phoebe,139
Chandler,Phoebe,129
Emily,Ross,71
Geller,Ross,70
Carol,Ross,48
Geller,Monica,43
GELLER,Richard,41
Mike,Phoebe,36
Ben,Ross,35
Emily,Waltham,32
Frank,Phoebe,32
Darling,Emily,30
Ross,Susan,28
Jessica,Joey,25
Monica,Richard,24
Jack,Ross,24
Barry,Rachel,23
Joey,Rach,22
Rachel,Zelner,21
Chandler,Emily,21
Pheeboh,Story,21
Eleonora,Story,21
Big,Monica,21
Story,Vanessa,21
Rach,Ross,21
Mitchell,Monica,20
Jack,Monica,20
Mike,Monica,19
Amy,Rachel,19
Chandler,Fat,18
Chip,Monica,18
Joshua,Rachel,18
Ben,Monica,17
Bing,Monica,17
Johnny,Richard,17
GELLER,Ross,16
Emma,Ross,16
Mon,Rachel,16
Drake,Rachel,16
Pheebs,Rachel,15
Alice,Phoebe,15
Joey,Tribbiani,15
Marcel,Ross,15
Sebastiano,Story,15
Green,Ross,15
Emma,Rachel,15
Chandler,Geller,15
Julie,Ross,14
Emily,Gellers,14
Geller,Rachel,14
Phoebe,Waltham,14
Moncia,Phoebe,13
Judy,Monica,13
Greg,Phoebe,13
Judy,Ross,13
Molly,Ross,13
Ben,Phoebe,13
Jack,Rachel,13
Gavin,Rachel,12
Gunther,Ross,12
Geller,Joey,12
GELLER,Monica,12
Drake,Joey,11
David,Phoebe,11
Chandler,Chip,11
Chandler,Issac,11
Charlie,Ross,11
Judy,Richard,11
Jenny,Phoebe,11
Gary,Story,11
Erin,Joey,11
Ross,Waltham,10
Betty,Phoebe,10
Joey,Mike,10
Mon,Phoebe,10
Joey,Pheebs,10
Rachel,Rosen,10
Joanne,Monica,10
Joey,Sarah,10
Chandler,Nancy,10
Joey,Mary,10
Fat,Monica,10
Parker,Rachel,10
Olivia,Rachel,10
Emma,Joey,10
David,Monica,10
Harad,Phoebe,9
Fat,Ross,9
Harmon,Richard,9
JOEY,Ross,9
Bob,Richard,9
Mike,Ross,9
Jack,Phoebe,9
Emma,Phoebe,9
Jack,Richard,9
CHANDLER,Ross,9
Phoebe,Santa,9
Chandler,David,9
Monica,VAN,9
Chip,Ross,9
Rachel,Ralph,8
LITTLE,Ross,8
Kristen,Ross,8
Carol,Monica,8
Monica,Rosen,8
Paolo,Rachel,8
Marcia,Phoebe,8
Mary,Phoebe,8
Chester,Phoebe,8
Emily,Steven,8
Andrea,Emily,8
Joey,Treeger,8
Rachel,Waltham,8
Emily,Joey,8
Bing,Chandler,7
Phoebe,Rach,7
Pete,Rachel,7
Chandler,Chloe,7
Jill,Rachel,7
Jordie,Ross,7
Chip,Simmons,7
Phoebe,Trudie,7
Monica,Susan,7
Radio,Ross,7
Ben,Rachel,7
Mindy,Rachel,7
Campbell,Rachel,7
Chandler,Emma,7
Chandler,Eric,7
Chip,Zana,7
Mark,Rachel,7
Monica,Rach,7
Chandler,Jasmine,7
Joanna,Rachel,7
Chandler,Janice,6
Brian,Story,6
Chandler,Joe,6
Carol,Rachel,6
Charlie,Monica,6
Emily,Rachel,6
Richard,Ross,6
Ron,Ross,6
Chandler,Mike,6
Chandler,Mon,6
Gellers,Ross,6
Sebastian,Story,6
Chandler,Kathy,6
Aired,Brian,6
Aired,Eleonora,6
Aired,Gary,6
Hugsy,Joey,6
Aired,Pheeboh,6
Iris,Monica,6
Frank,Rachel,6
Aired,Sebastian,6
Aired,Vanessa,6
Ross,Rossie,6
Roni,Story,6
Jacques,Joey,6
Aired,Robert,6
Fonzie,Phoebe,6
Amber,Drake,6
Philange,Phoebe,6
Emily,Monica,6
Donny,Gene,6
Monica,RACHEL,6
MONICA,Monica,6
Lizzie,Paul,6
Big,Ross,6
PHOEBE,Ross,6
Julie,Rachel,6
Frank,Monica,6
Paul,Ross,6
Parker,Ross,6
Phoebe,Ursula,6
Estelle,Joey,6
Ben,Joey,6
Joey,Ma,6
Charlie,Rachel,6
Rach,Rachel,6
Phoebe,ether,6
Danny,Rachel,5
Charlie,Phoebe,5
Green,Rachel,5
Green,Monica,5
Emma,Monica,5
Chandler,Fonzie,5
David,Mike,5
Chandler,Richard,5
GREEN,Rachel,5
Francis,Rachel,5
Chandler,Heldi,5
Dana,Story,5
Chandler,Phoebs,5
Daddy,Rachel,5
Eric,Friends,5
Conan,Friends,5
Chip,Spindler,5
Joey,Ronni,5
Chandler,Mary-Angela,5
Monica,Nancy,5
Joey,Tony,5
Bing,Joey,5
Lillian,Ross,5
Parker,Phoebe,5
Rachel,Tag,5
Marcel,Rachel,5
Michael,Monica,5
Mike,Rachel,5
Rachel,Raven,5
Ben,Chandler,5
Rachel,Radio,5
Mon,Ross,5
Phoebe,Simon,5
Barry,Ross,5
Mona,Ross,5
Greg,Monica,5
Monica,Parker,5
Phoebe,Rick,5
Phoebe,Richard,5
BURKE,Monica,5
Nancy,Ross,5
Neil,Phoebe,5
John,Rachel,5
Lilly,Phoebe,5
Angela,Joey,5
Scott,Story,5
Janice,Phoebe,5
Ross,Zelner,5
Joey,Stryker,5
Janice,Monica,5
Joe,Joey,5
Ross,Roy,5
Joey,Joseph,5
Shana,Story,5
Sheldon,Story,5
Joey,Kay,5
Bonnie,Joey,5
Joey,Parker,5
Joey,Richard,5
Story,Terry,5
Rachel,Wineburg,5
Janice,Rachel,5
Phoebe,Potter,4
Phoebe,Precious,4
Chandler,Molly,4
Chris,Rachel,4
Chandler,Monty,4
Christie,Gene,4
Pheebs,Ross,4
Chip,Rachel,4
Phoebe,Robert,4
Chandler,Melba,4
Rachel,Uma,4
Chip,Kelly,4
Chip,Goldie,4
Chip,Devane,4
Phoebe,Vince,4
Ross,Ruth,4
Rachel,Sting,4
Rachel,no,4
Rachel,Winona,4
Rachel,Thompson,4
Charlie,Joey,4
Rachel,Tommy,4
Chandler,Yasmine,4
Chandler,Val,4
Chandler,Russ,4
Rachel,Tova,4
Phoebe,Theodore,4
Greene,Joey,4
Paolo,Ross,4
Joey,John,4
Judy,Phoebe,4
Johnson,Ross,4
Erica,Monica,4
Ernest,Rachel,4
Estelle,Phoebe,4
Chandler,Mary,4
Joey,Lou,4
Joey,Kash,4
Joe,Rachel,4
Lisa,Ross,4
Janice,Sid,4
GREENE,Monica,4
Janice,Joey,4
Intercom,Remore,4
Geller,Phoebe,4
Harad,Ross,4
Gunther,Joey,4
Grrrreat,Joey,4
Kim,Ralph,4
MONICA,Ross,4
Daniel,Rachel,4
Dorothy,Rachel,4
Monica,Will,4
Monica,Steve,4
Monica,Sandra,4
Dirk,Joey,4
Monica,Pete,4
Monica,Paul,4
Donny,Henrietta,4
Monica,Nana,4
Duncan,Joey,4
Marcel,Monica,4
Earl,Phoebe,4
Elizabeth,Rachel,4
Elizabeth,Ross,4
Mom,Rachel,4
Mitchell,Ross,4
Mitchell,Rachel,4
Mira,Monica,4
Michelle,Rachel,4
-,Amy,4
Greene,Monica,4
Chandler,Kim,4
Amy,Phoebe,4
Amy,Ross,4
Amy,be,4
Cecilia,Joey,4
Chandler,Jessica,4
Amy,Phoe,4
Alice,Rachel,4
Alison,Joey,4
Brittany,Joey,4
Allesandro,Emillio,4
Batman,Chandler,4
Carol,Susan,4
Allesandro,Monica,4
Alice,Frank,4
Ashley,Joey,4
Chandler,Halle,4
Bing,Ross,4
Bill,Phoebe,4
Amy,Charlie,4
BIG,Ross,4
Chandler,Cindy,4
Adrienne,Ross,4
Amy,Emma,4
Bernice,Farber,3
Marta,Monica,3
Eddie,Sean,3
Beth,Joey,3
Mark,Monica,3
Maitre,Rachel,3
Big,Chandler,3
Lily,Phoebe,3
Lynch,Rachel,3
Lydia,Ross,3
Michelle,Monica,3
Leslie,Phoebe,3
Bob,Phoebe,3
Michelle,Ross,3
Morgan,Rachel,3
Monica,Tim,3
Monica,Tennant,3
Dan,Rachel,3
Dan,Ross,3
Monica,ROSS,3
Baldhara,Ross,3
Danny,Krista,3
Chandler,Friends,3
Monica,Nora,3
David,Max,3
Chandler,Frank,3
Mona,Phoebe,3
David,Rachel,3
Bazida,Joey,3
Debra,Monica,3
Mom,Ross,3
Molly,Rachel,3
Mindy,Monica,3
Dina,Jessica,3
Katelynn,Phoebe,3
Dina,Joey,3
Chandler,Dan,3
Billy,Rachel,3
Bravo,Chandler,3
Francis,Phoebe,3
Cathy,Phoebe,3
Janice,Ross,3
Friends,Joey,3
Friends,Monica,3
Friends,Rachel,3
JOEY,Monica,3
Intercom,REMORE,3
Burt,Ross,3
Carol,Joey,3
GREENE,Ross,3
Heckles,Ross,3
Heathcliff,Phoebe,3
Gary,Monica,3
Heath,Ross,3
By,Roger,3
Gavin,Joey,3
By,Sebastian,3
CHANDLER,Monica,3
Gene,Heidi,3
Brian,By,3
Joey,Kate,3
Bing,Phoebe,3
Joey,Kathy,3
Emily,Liam,3
Chandler,Dennis,3
Emily,Phoebe,3
Nana,Ross,3
Chandler,Clunkers,3
Joey,Wallace,3
Joey,Victor,3
Blaine,Ross,3
Erica,Joey,3
Chan,Joey,3
Joey,Raymond,3
Bob,Joey,3
Joey,Peter,3
Joey,Paul,3
Joey,Paolo,3
Joey,Nasforatool,3
Bob,Toby,3
Eva,Joey,3
Joey,Lauren,3
Joey,Kyle,3
Joey,Kristen,3
Mork,Phoebe,3
CHANDLER,Phoebe,3
Chandler,Missy,3
Chandler,Joseph,3
Raymond,Ross,3
Rhodes,Ross,3
Phoebe,Treeger,3
Chandler,Harad,3
Chandler,Heckles,3
Annie,Phoebe,3
Ross,Treeger,3
Ross,Tony,3
Ross,Stevens,3
Ross,Sequoia,3
Allesandro,Carlos,3
Ross,Sarah,3
Chandler,Joshua,3
Ane,By,3
Alex,Joey,3
Phoebe,Susan,3
Chandler,Julie,3
Charlton,Joey,3
Ross,Rover,3
Chandler,Isaac,3
Armadillo,Monica,3
Phoebe,Russ,3
Rachel,Ursula,3
Chuck,Phoebe,3
Amber,REMORE,3
Cindy,Gene,3
Rachel,Sandrine,3
Allesandro,Tony,3
Allesandro,Marie,3
Phoebe,plese,3
Claudia,Gene,3
Chandler,Mary-Theresa,3
Rachel,Sophie,3
Joey,Waltham,2
Albino,Phoebe,2
Joey,Jordan,2
Joey,Vincent,2
Alby,Ross,2
Bonnie,Phoebe,2
Joel,Joey,2
Joe,Ross,2
Alvin,Chandler,2
Rachel,Robert,2
Joey,Voice,2
Alexandra,Chandler,2
Joey,Vell,2
Joey,Lorraine,2
Bobby,Ross,2
Rachel,gleba,2
Joey,Marge,2
Joey,Tris,2
Joey,Mark,2
Joey,Michelle,2
Joey,Molly,2
Joey,Tom,2
Jo,Rachel,2
Rachel,Treeger,2
Joey,Olivia,2
Alice,Monica,2
Bob,Chandler,2
Rachel,mira,2
Assistant,Jinkys,2
Jenny,Monica,2
Jo,Joey,2
Hamilton,Ross,2
Ross,the,2
Rostins,Woman,2
Heckles,Rachel,2
Sandy,Snufflebumps,2
Sandy,Wigglemunch,2
By,Eric,2
Adrienne,Chandler,2
Sebastiano,Transcribed,2
Aaron,Joey,2
By,Shana,2
Ross,mom,2
Gunther,Rachel,2
Gunther,Monica,2
Grumpus,Sandy,2
CAROL,Ross,2
CHANDLER,Joey,2
Sue,Theodore,2
Theodore,Tom,2
Greene,Ross,2
Aaron,By,2
Heidi,Ross,2
Horton,Intercom,2
Jill,Phoebe,2
Janine,Monica,2
Jessy,Ross,2
Ross,Russell,2
Ross,Rust,2
Ross,SUSAN,2
Bitsy,Tom,2
Jennifer,Joey,2
Jean-Claude,Rachel,2
Je,Phoebe,2
Jarvis,Woman,2
Ross,Santa,2
Howe,Robert,2
Jabba,Ross,2
Burke,Monica,2
Ross,Steven,2
Ross,Sting,2
Intercom,Wong,2
Burke,Ross,2
Ross,Vicrum,2
Hugsy,Rachel,2
Hugh,Joey,2
John,Phoebe,2
Josh,Rachel,2
John,Ross,2
Bitsy,Sue,2
Archie,Chandler,2
Barry,Mindy,2
Barry,Monica,2
Monana,Rachel,2
Barry,Phoebe,2
Patti,Ross,2
Paul,Phoebe,2
Mon,Richard,2
Batman,Ross,2
Paul,Rachel,2
Paul,Stevens,2
Angela,Chandler,2
Phil,Robert,2
Ben,Carol,2
Candy,Phoebe,2
Mira,Rachel,2
Minnie,Ross,2
Phoebe,Phyllis,2
Anastassakis,Rachel,2
Millners,Ross,2
Papasifakis,Rachel,2
Monica,Paolo,2
Barbra,Rachel,2
Monica,Tribbiani,2
Mummy,Teacher,2
Mouse,Ross,2
Ned,Ross,2
Mookurgee,Phoebe,2
Monican't,Phoebe,2
Monican,Phoebe,2
Monica,the,2
Monica,Woman,2
Assistant,Mittens,2
Assistant,Fitzhugh,2
Barbara,Monica,2
Monica,Syl,2
Monica,Shannon,2
Monica,Santa,2
Monica,Ralph,2
BUFFAY,Phoebe,2
Oberman,Ross,2
Oprah,Ross,2
P.S.,Rachel,2
Arthur,Chandler,2
Miller,Monica,2
Mike,Theodore,2
Mike,Precious,2
Kenny,Phoebe,2
Laurie,Rachel,2
Bill,Monica,2
Phoebe,Vicrum,2
Kyle,Ross,2
Kyle,Phoebe,2
Kristin,Ross,2
Amy,Chandler,2
Kim,Rachel,2
Phoebe,sus,2
Liddy,Monica,2
Phoebo,Rachel,2
Phoebs,Ross,2
Ju,Ross,2
Bitsy,Jen,2
Josh-u-a,Rachel,2
Muriel,Ross,2
Rachel,Raquel,2
Bitsy,Mike,2
Amanda,Monica,2
Leslie,Monica,2
Lifson,Max,2
Phoebe,Randy,2
Phoebe,Sting,2
Phoebe,Roger,2
Max,Yamaguchi,2
Matt,Monica,2
Mark,Ross,2
Bernice,Jason,2
Phoebe,Sergei,2
Marie,Monica,2
Bert,Phoebe,2
Marce,Ross,2
Ma,Ross,2
Phoebe,Travis,2
Best,Monica,2
MONICA,Phoebe,2
Phoebe,Sven,2
Ludwins,Ross,2
Love,Phoebe,2
Long,Rachel,2
Amy,Joey,2
Lisa,Richard,2
Phoebe,Thompson,2
Missy,Ross,2
Transcribed,Vanessa,2
Donny,Joey,2
Chandler,Mr.,2
Frankie,Joey,2
Ethan,Rachel,2
Chandler,John,2
Chandler,Robin,2
Chandler,Eddie,2
Drake,Hope,2
Chick,Phoebe,2
Donny,Voice,2
Donny,Monica,2
Chi-Chi,Ross,2
Emil,Rachel,2
Chad,Monica,2
Chandler,Phil,2
Chandler,Pheebs,2
Eleonora,Transcribed,2
Donny,Jill,2
Donny,Jack,2
Fun,Monica,2
